matrizCreada,idMatriz,hold,mult,nProces,working,procesT,nFinish,nFail
0,64,0,1,0,1,5,17,15
0,64,0,1,0,0,5,18,15
1,64,1,0,0,0,5,18,15
0,66,0,1,2,1,5,18,15
0,66,0,1,2,0,5,19,15
1,66,1,0,0,0,5,19,15
0,68,0,1,3,1,5,19,16
0,68,0,1,3,3,5,19,16
0,70,0,1,3,1,5,19,16
0,70,0,1,3,0,5,20,16
0,72,0,1,3,1,5,20,17
0,72,0,1,3,3,5,20,17
1,68,1,0,0,0,5,20,17
1,70,1,0,0,0,5,20,17
1,72,1,0,0,0,5,20,17
0,74,0,1,4,1,5,20,18
0,74,0,1,4,2,5,20,18
0,76,0,1,1,1,5,20,19
0,76,0,1,1,3,5,20,19
1,74,1,0,0,0,5,20,19
0,78,0,1,0,1,5,20,20
0,78,0,1,0,2,5,20,20
0,80,0,1,2,1,5,20,21
0,80,0,1,2,3,5,20,21
0,82,0,1,3,1,5,20,22
0,82,0,1,3,3,5,20,22
0,84,0,1,4,1,5,20,23
0,84,0,1,4,3,5,20,23
0,86,0,1,1,1,5,20,24
0,86,0,1,1,2,5,20,24
0,88,0,1,1,1,5,20,24
0,88,0,1,1,0,5,21,24
0,90,0,1,1,1,5,21,25
0,90,0,1,1,3,5,21,25
0,92,0,1,4,1,5,21,26
0,92,0,1,4,2,5,21,26
0,94,0,1,4,1,5,21,26
0,94,0,1,4,0,5,22,26
0,96,0,1,2,1,5,22,27
0,96,0,1,2,2,5,22,27
0,98,0,1,3,1,5,22,28
0,98,0,1,3,2,5,22,28
0,0,0,1,0,1,5,22,29
0,0,0,1,0,3,5,22,29
0,2,0,1,0,1,5,22,29
0,2,0,1,0,0,5,23,29
0,4,0,1,1,1,5,23,29
0,4,0,1,1,0,5,24,29
0,6,0,1,4,1,5,24,30
0,6,0,1,4,3,5,24,30
0,8,0,1,2,1,5,24,30
0,8,0,1,2,0,5,25,30
0,10,0,1,3,1,5,25,31
0,10,0,1,3,3,5,25,31
1,76,1,0,0,0,5,25,31
0,12,0,1,2,1,5,25,32
0,12,0,1,2,3,5,25,32
0,14,0,1,2,1,5,25,32
0,14,0,1,2,0,5,26,32
1,78,1,0,0,0,5,26,32
1,80,1,0,0,0,5,26,32
1,82,1,0,0,0,5,26,32
1,84,1,0,0,0,5,26,32
1,86,1,0,0,0,5,26,32
1,88,1,0,0,0,5,26,32
1,90,1,0,0,0,5,26,32
1,92,1,0,0,0,5,26,32
1,94,1,0,0,0,5,26,32
1,96,1,0,0,0,5,26,32
1,98,1,0,0,0,5,26,32
1,0,1,0,0,0,5,26,32
1,2,1,0,0,0,5,26,32
1,4,1,0,0,0,5,26,32
1,6,1,0,0,0,5,26,32
1,8,1,0,0,0,5,26,32
1,10,1,0,0,0,5,26,32
1,12,1,0,0,0,5,26,32
1,14,1,0,0,0,5,26,32
0,16,0,1,3,1,5,26,33
0,16,0,1,3,2,5,26,33
0,18,0,1,3,1,5,26,33
0,18,0,1,3,0,5,27,33
0,20,0,1,0,1,5,27,34
0,20,0,1,0,3,5,27,34
0,22,0,1,4,1,5,27,35
0,22,0,1,4,3,5,27,35
0,24,0,1,1,1,5,27,36
0,24,0,1,1,3,5,27,36
0,26,0,1,2,1,5,27,36
0,26,0,1,2,0,5,28,36
0,28,0,1,3,1,5,28,37
0,28,0,1,3,3,5,28,37
1,16,1,0,0,0,5,28,37
1,18,1,0,0,0,5,28,37
1,20,1,0,0,0,5,28,37
1,22,1,0,0,0,5,28,37
1,24,1,0,0,0,5,28,37
1,26,1,0,0,0,5,28,37
1,28,1,0,0,0,5,28,37
0,30,0,1,0,1,5,28,38
0,30,0,1,0,3,5,28,38
0,32,0,1,0,1,5,28,39
0,32,0,1,0,3,5,28,39
0,34,0,1,0,1,5,28,39
0,34,0,1,0,0,5,29,39
1,30,1,0,0,0,5,29,39
1,32,1,0,0,0,5,29,39
1,34,1,0,0,0,5,29,39
0,36,0,1,4,1,5,29,40
0,36,0,1,4,3,5,29,40
0,38,0,1,4,1,5,29,41
0,38,0,1,4,2,5,29,41
0,40,0,1,1,1,5,29,41
0,40,0,1,1,0,5,30,41
1,36,1,0,0,0,5,30,41
1,38,1,0,0,0,5,30,41
1,40,1,0,0,0,5,30,41
0,42,0,1,0,1,5,30,41
0,42,0,1,0,0,5,31,41
0,44,0,1,2,1,5,31,41
0,44,0,1,2,0,5,32,41
0,46,0,1,2,1,5,32,41
0,46,0,1,2,0,5,33,41
1,42,1,0,0,0,5,33,41
1,44,1,0,0,0,5,33,41
1,46,1,0,0,0,5,33,41
0,48,0,1,3,1,5,33,41
0,48,0,1,3,0,5,34,41
0,50,0,1,3,1,5,34,42
0,50,0,1,3,3,5,34,42
0,52,0,1,3,1,5,34,43
0,52,0,1,3,3,5,34,43
0,54,0,1,3,1,5,34,44
0,54,0,1,3,3,5,34,44
0,56,0,1,4,1,5,34,44
0,56,0,1,4,0,5,35,44
0,58,0,1,2,1,5,35,45
0,58,0,1,2,2,5,35,45
1,48,1,0,0,0,5,35,45
1,50,1,0,0,0,5,35,45
1,52,1,0,0,0,5,35,45
1,54,1,0,0,0,5,35,45
1,56,1,0,0,0,5,35,45
1,58,1,0,0,0,5,35,45
0,60,0,1,1,1,5,35,45
0,60,0,1,1,0,5,36,45
1,60,1,0,0,0,5,36,45
0,62,0,1,1,1,5,36,46
0,62,0,1,1,3,5,36,46
1,62,1,0,0,0,5,36,46
0,64,0,1,1,1,5,36,47
0,64,0,1,1,3,5,36,47
1,64,1,0,0,0,5,36,47
0,66,0,1,0,1,5,36,47
0,66,0,1,0,0,5,37,47
1,66,1,0,0,0,5,37,47
0,68,0,1,3,1,5,37,47
0,68,0,1,3,0,5,38,47
1,68,1,0,0,0,5,38,47
0,70,0,1,4,1,5,38,48
0,70,0,1,4,2,5,38,48
1,70,1,0,0,0,5,38,48
0,72,0,1,4,1,5,38,48
0,72,0,1,4,0,5,39,48
0,74,0,1,4,1,5,39,49
0,74,0,1,4,3,5,39,49
1,72,1,0,0,0,5,39,49
1,74,1,0,0,0,5,39,49
0,76,0,1,2,1,5,39,50
0,76,0,1,2,2,5,39,50
0,78,0,1,2,1,5,39,51
0,78,0,1,2,3,5,39,51
0,80,0,1,1,1,5,39,52
0,80,0,1,1,3,5,39,52
